lineHeight
24
id,x,y,w,h,offx,offy,advx
123,53,20,5,18,0,4,7
124,0,0,2,20,2,4,5
125,47,20,5,18,0,4,7
126,50,113,9,3,1,12,12
161,250,68,2,15,2,9,5
162,104,86,9,14,2,5,14
163,169,38,13,15,1,4,14
165,239,36,13,15,1,4,14
166,252,0,2,17,2,6,5
168,77,113,6,2,1,6,9
171,230,84,8,12,1,7,10
176,247,97,6,6,1,4,8
178,218,98,7,10,1,4,8
179,229,97,7,9,1,4,8
180,60,113,4,3,1,4,7
181,44,87,9,14,1,9,11
187,239,84,8,12,1,7,10
191,3,89,10,14,1,9,12
192,3,0,14,19,0,0,14
193,18,0,14,19,0,0,14
194,33,0,14,19,0,0,14
195,5,20,14,18,0,1,14
196,79,20,14,17,0,2,14
198,195,20,20,15,0,4,21
199,128,0,12,19,1,4,13
200,214,0,10,19,1,0,11
201,192,0,10,19,1,0,11
202,203,0,10,19,1,0,11
203,146,20,9,17,1,2,11
204,0,21,4,19,0,0,5
205,242,0,4,19,0,0,5
206,235,0,6,19,-1,0,5
207,165,20,6,17,-1,2,5
208,50,39,15,15,-1,4,15
209,20,20,13,18,1,1,16
210,115,0,12,19,1,0,13
211,89,0,12,19,1,0,13
212,141,0,12,19,1,0,13
213,34,20,12,18,1,1,13
214,109,20,12,17,1,2,13
216,34,39,15,15,0,4,14
217,102,0,12,19,1,0,15
218,167,0,12,19,1,0,15
219,154,0,12,19,1,0,15
220,122,20,12,17,1,2,15
221,48,0,13,19,0,0,13
223,12,73,10,15,1,4,12
224,156,70,9,15,1,4,11
225,106,70,9,15,1,4,11
226,54,87,9,14,1,5,11
227,64,87,9,14,1,5,11
228,184,86,9,13,1,6,11
230,15,104,17,10,1,9,19
231,34,87,9,14,1,9,11
232,116,70,9,15,1,4,11
233,126,70,9,15,1,4,11
234,14,89,9,14,1,5,11
235,194,86,9,13,1,6,11
236,245,68,4,15,0,4,4
237,251,52,4,15,0,4,4
238,223,68,7,15,-1,4,4
239,213,84,6,13,-1,6,4
241,124,86,9,14,1,5,12
242,136,70,9,15,1,4,11
243,146,70,9,15,1,4,11
244,94,87,9,14,1,5,11
245,84,87,9,14,1,5,11
246,164,86,9,13,1,6,11
248,220,84,9,12,1,8,11
249,196,68,9,15,1,4,11
250,166,70,9,15,1,4,11
251,176,70,9,15,1,4,11
252,174,86,9,13,1,6,11
253,225,0,9,19,0,4,9
255,135,20,10,17,-1,6,9
305,226,97,2,10,1,9,4
321,155,54,11,15,-1,4,11
322,239,68,5,15,-1,4,4
352,180,0,11,19,1,0,13
353,134,86,9,14,1,5,11
381,76,0,12,19,0,0,13
382,206,68,8,15,0,4,9
937,234,20,17,15,0,4,18
956,74,87,9,14,1,9,11
960,0,105,14,11,0,8,14
8216,41,115,2,4,1,4,4
8217,47,115,2,4,1,4,4
8218,44,115,2,4,1,17,5
8220,20,115,5,4,1,4,7
8221,26,115,5,4,1,4,7
8222,32,115,5,4,1,17,7
8364,112,38,14,15,0,4,14
169,209,263,17,15,-1,4,15
174,173,263,17,15,-1,4,15
177,14,461,12,13,0,6,12
188,78,266,18,15,0,4,18
189,59,266,18,15,0,4,18
190,40,269,18,15,0,4,18
197,188,148,15,19,-1,0,13
229,30,251,12,17,0,2,12
268,108,149,15,19,0,0,15
269,245,262,10,15,0,4,11
280,0,192,13,19,1,4,14
281,151,361,12,15,0,8,12
282,14,192,13,19,1,0,14
283,164,360,12,15,0,4,12
302,184,208,5,19,0,4,6
303,190,208,5,19,0,4,5
308,194,188,12,19,0,0,11
309,162,208,7,19,-2,4,4
338,157,247,20,15,1,4,21
339,77,460,20,11,0,8,20
340,155,168,14,19,1,0,15
341,27,430,7,15,1,4,7
342,98,128,14,20,1,4,15
343,80,249,7,16,1,8,7
344,95,169,14,19,1,0,15
345,246,407,8,15,0,4,7
350,110,169,14,19,0,4,14
351,36,398,11,15,0,8,11
354,170,168,14,19,-1,4,12
355,154,208,7,19,0,4,6
356,80,170,14,19,-1,0,12
360,207,188,12,19,1,0,14
361,176,409,9,15,1,4,11
368,0,212,12,19,1,0,14
369,146,410,9,15,1,4,11
370,220,188,12,19,1,4,14
371,69,414,10,15,1,8,11
374,125,169,14,19,0,0,14
375,74,210,11,19,0,4,11
376,146,228,14,18,0,1,14
880,84,398,11,15,1,4,12
881,0,487,11,11,-1,8,10
882,238,343,13,15,0,4,13
883,91,414,10,15,0,4,10
884,200,491,4,3,2,4,7
885,195,491,4,3,1,20,7
886,165,328,13,15,1,4,15
887,152,468,12,11,1,8,12
890,252,164,3,3,2,20,7
891,12,487,11,11,0,8,11
892,141,480,10,11,0,8,11
893,24,487,11,11,0,8,11
894,227,439,4,14,1,8,6
895,135,410,10,15,0,4,11
900,190,491,4,3,2,4,7
901,127,456,9,3,-1,4,7
902,170,296,15,15,-1,4,13
903,72,298,4,2,1,8,6
904,108,281,17,15,-1,4,16
905,191,263,17,15,-1,4,17
906,35,430,7,15,-1,4,8
908,227,262,17,15,-1,4,16
910,97,265,18,15,-1,4,17
911,0,286,17,15,-1,4,16
912,71,249,8,16,-2,3,4
913,234,294,15,15,-1,4,13
914,235,327,13,15,1,4,14
915,12,414,11,15,1,4,12
916,228,278,16,15,-1,4,14
917,70,350,13,15,1,4,14
918,0,350,13,15,0,4,13
919,112,362,12,15,1,4,14
920,136,296,16,15,0,4,16
921,48,430,4,15,1,4,6
922,154,344,13,15,1,4,14
923,239,310,14,15,0,4,14
924,0,318,15,15,1,4,17
925,138,362,12,15,1,4,14
926,0,334,14,15,0,4,14
927,143,280,16,15,0,4,16
928,177,360,12,15,1,4,14
929,14,350,13,15,1,4,14
931,190,360,12,15,1,4,13
932,75,334,14,15,-1,4,12
933,150,328,14,15,0,4,14
934,119,297,16,15,0,4,16
935,105,330,14,15,0,4,14
936,85,298,16,15,1,4,18
938,12,251,8,18,-1,1,6
939,131,229,14,18,0,1,14
940,203,359,12,15,0,4,12
941,236,407,9,15,0,4,9
942,246,188,9,19,1,4,11
943,250,294,5,15,0,4,4
944,245,375,10,15,0,4,10
945,126,472,12,11,0,8,12
946,86,210,11,19,1,4,12
947,124,410,10,15,0,8,10
948,26,382,12,15,0,4,12
949,50,499,9,11,0,8,9
950,133,209,10,19,0,4,9
951,156,409,9,15,1,8,11
952,65,382,12,15,0,4,12
953,250,476,4,11,0,8,4
954,60,498,9,11,1,8,10
955,120,394,11,15,0,4,11
957,96,484,11,11,0,8,11
958,122,209,10,19,0,4,9
959,204,467,12,11,0,8,12
961,144,394,11,15,1,8,12
962,47,414,10,15,0,8,10
963,99,472,13,11,0,8,13
964,80,498,8,11,0,8,8
965,218,478,10,11,0,8,10
966,135,329,14,15,0,8,14
967,221,375,11,15,0,8,11
968,98,365,13,15,1,8,14
969,156,456,16,11,0,8,16
970,219,439,7,14,-2,5,4
971,138,441,10,14,0,5,10
972,0,382,12,15,0,4,12
973,113,413,10,15,0,4,10
974,126,280,16,15,0,4,16
975,42,190,13,19,1,4,14
976,0,398,11,15,0,4,12
977,168,344,13,15,-1,4,11
978,72,282,17,15,0,4,16
979,178,247,20,15,0,4,20
980,238,208,17,18,0,1,16
981,168,188,12,19,0,4,12
982,190,455,16,11,0,8,16
983,182,344,13,15,0,8,13
984,91,149,16,19,0,4,16
985,229,359,12,15,0,8,12
986,15,334,14,15,0,4,15
987,156,393,11,15,0,8,11
988,216,359,12,15,1,4,13
989,18,430,8,15,0,8,8
990,64,318,15,15,-1,4,13
991,0,414,11,15,0,4,11
992,20,150,17,19,-1,4,16
993,50,210,11,19,1,4,12
994,56,150,17,19,1,4,19
995,102,298,16,15,1,8,18
996,0,366,13,15,0,4,14
997,245,278,10,15,1,4,12
998,84,190,13,19,1,4,14
999,51,461,12,12,-1,7,11
1000,224,311,14,15,0,4,14
1001,84,366,13,15,0,4,14
1002,179,328,13,15,0,4,13
1003,57,474,13,11,0,8,13
1004,32,318,15,15,0,4,15
1005,243,464,12,11,0,8,12
1006,24,398,11,15,-1,4,10
1007,216,407,9,15,0,4,9
1008,43,475,13,11,0,8,13
1009,208,375,12,15,0,8,12
1010,207,479,10,11,0,8,11
1011,170,208,6,19,-2,4,4
1012,51,302,16,15,0,4,16
1013,70,498,9,11,0,8,9
1014,20,499,9,11,0,8,9
1015,126,346,13,15,1,4,14
1016,110,209,11,19,1,4,12
1017,208,311,15,15,0,4,15
1018,153,296,16,15,1,4,18
1019,169,376,12,15,1,8,14
1020,112,346,13,15,-1,8,12
1021,80,317,15,15,0,4,15
1022,96,314,15,15,0,4,15
1023,128,313,15,15,0,4,15
1024,98,189,13,19,1,0,14
1025,161,228,13,18,1,1,14
1026,154,264,18,15,0,4,18
1027,38,212,11,19,1,0,11
1028,144,312,15,15,0,4,15
1029,60,334,14,15,0,4,14
1030,249,326,4,15,1,4,6
1031,21,251,8,18,-1,1,6
1032,102,414,10,15,0,4,11
1033,88,249,23,15,-1,4,22
1034,199,247,20,15,1,4,21
1035,116,264,18,15,0,4,18
1036,13,212,12,19,1,0,12
1037,70,190,13,19,1,0,15
1038,204,148,15,19,-1,0,13
1039,242,168,13,19,1,4,15
1040,16,318,15,15,-1,4,13
1041,84,350,13,15,1,4,14
1042,98,349,13,15,1,4,14
1043,233,375,11,15,1,4,11
1044,220,148,15,19,-1,4,14
1045,196,343,13,15,1,4,14
1046,135,248,21,15,-1,4,19
1047,14,366,13,15,0,4,13
1048,42,366,13,15,1,4,15
1049,214,168,13,19,1,0,15
1050,130,378,12,15,1,4,12
1051,56,366,13,15,0,4,14
1052,192,311,15,15,1,4,17
1053,91,382,12,15,1,4,14
1054,194,279,16,15,0,4,16
1055,78,382,12,15,1,4,14
1056,42,350,13,15,1,4,14
1057,48,318,15,15,0,4,15
1058,90,333,14,15,-1,4,12
1059,160,312,15,15,-1,4,13
1060,0,302,16,15,0,4,16
1061,45,334,14,15,0,4,14
1062,48,170,15,19,1,4,16
1063,140,345,13,15,0,4,14
1064,17,302,16,15,1,4,18
1065,0,152,19,19,1,4,20
1066,135,264,18,15,-1,4,17
1067,90,282,17,15,1,4,19
1068,224,343,13,15,1,4,14
1069,176,312,15,15,0,4,15
1070,220,246,20,15,1,4,21
1071,30,334,14,15,0,4,15
1072,217,466,12,11,0,8,12
1073,13,382,12,15,0,4,12
1074,108,484,10,11,1,8,11
1075,247,438,8,11,1,8,8
1076,201,424,13,14,-1,8,12
1077,191,467,12,11,0,8,12
1078,139,456,16,11,-1,8,14
1079,229,478,10,11,0,8,10
1080,40,499,9,11,1,8,11
1081,196,408,9,15,1,4,11
1082,30,499,9,11,1,8,9
1083,178,467,12,11,-1,8,11
1084,71,474,13,11,0,8,13
1085,10,499,9,11,1,8,11
1086,139,468,12,11,0,8,12
1087,152,480,10,11,0,8,10
1088,12,398,11,15,0,8,11
1089,130,484,10,11,0,8,11
1090,113,472,12,11,-1,8,10
1091,72,398,11,15,0,8,11
1092,38,150,17,19,0,4,17
1093,196,479,10,11,0,8,10
1094,192,392,11,15,1,8,12
1095,119,484,10,11,0,8,11
1096,239,452,15,11,1,8,16
1097,186,295,15,15,1,8,16
1098,29,475,13,11,0,8,13
1099,15,475,13,11,1,8,15
1100,174,480,10,11,1,8,11
1101,72,486,11,11,0,8,11
1102,207,454,15,11,1,8,16
1103,163,480,10,11,0,8,11
1104,39,382,12,15,0,4,12
1105,78,445,12,14,0,5,12
1106,233,188,12,19,-1,4,12
1107,0,430,8,15,1,4,8
1108,36,487,11,11,0,8,11
1109,84,486,11,11,0,8,11
1110,252,148,3,15,1,4,5
1111,201,439,8,14,-1,5,6
1112,177,208,6,19,-2,4,4
1113,98,460,20,11,-1,8,19
1114,173,455,16,11,1,8,17
1115,52,382,12,15,-1,4,12
1116,206,408,9,15,1,4,9
1117,186,408,9,15,1,4,11
1118,62,210,11,19,0,4,11
1119,166,409,9,15,1,8,11
1124,20,270,19,15,1,4,20
1125,0,475,14,11,1,8,15
1152,32,170,15,19,0,4,15
1153,240,391,11,15,0,8,11
1154,216,391,11,15,0,4,11
1155,172,492,8,3,-4,4,0
1156,181,492,8,3,-4,4,0
1157,18,150,1,1,0,0,0
1158,16,150,1,1,0,0,0
1159,159,492,12,3,-6,2,0
1160,16,128,22,21,-11,2,0
1161,39,128,20,21,-10,2,0
1162,0,128,15,23,1,0,15
1163,231,227,12,18,1,4,12
1164,112,314,15,15,-1,4,14
1165,104,381,12,15,-1,4,11
1166,221,327,13,15,1,4,14
1167,204,392,11,15,1,8,12
1168,144,208,9,19,1,0,10
1169,9,430,8,15,1,4,9
1170,70,366,13,15,-1,4,11
1171,240,478,9,11,0,8,8
1172,112,189,13,19,1,4,14
1173,180,392,11,15,1,8,12
1174,151,128,21,19,-1,4,19
1175,75,430,16,14,-1,8,14
1176,228,168,13,19,0,4,13
1177,58,414,10,15,0,8,10
1178,181,188,12,19,1,4,12
1179,191,439,9,14,1,8,9
1180,143,378,12,15,1,4,12
1181,0,499,9,11,1,8,9
1182,120,330,14,15,-1,4,12
1183,228,391,11,15,-1,4,9
1184,18,286,17,15,0,4,16
1185,165,468,12,11,0,8,11
1186,185,168,14,19,1,4,15
1187,39,446,12,14,1,8,12
1188,36,286,17,15,1,4,18
1189,85,472,13,11,1,8,14
1190,127,128,23,19,1,4,24
1191,54,285,17,15,1,8,18
1192,68,301,16,15,0,4,16
1193,48,487,11,11,0,8,11
1194,64,170,15,19,0,4,15
1195,48,398,11,15,0,8,11
1196,126,189,13,19,0,4,13
1197,160,440,10,14,0,8,10
1198,56,350,13,15,-1,4,12
1199,96,398,11,15,0,8,11
1200,156,377,12,15,0,4,12
1201,132,394,11,15,0,8,11
1202,172,148,15,19,0,4,14
1203,52,446,12,14,0,8,11
1204,217,128,19,19,0,4,19
1205,92,430,15,14,0,8,15
1206,140,168,14,19,0,4,14
1207,65,445,12,14,0,8,11
1208,28,366,13,15,0,4,14
1209,185,479,10,11,0,8,11
1210,28,350,13,15,1,4,14
1211,226,407,9,15,1,4,11
1212,0,270,19,15,-1,4,18
1213,223,454,15,11,-1,8,14
1214,218,208,19,18,-1,4,18
1215,124,426,15,14,-1,8,14
1216,43,430,4,15,1,4,6
1217,195,128,21,19,-1,0,19
1218,160,280,16,15,-1,4,14
1219,56,190,13,19,1,4,14
1220,24,414,11,15,1,8,12
1221,74,150,16,19,-1,4,14
1222,156,425,14,14,-1,8,12
1223,140,188,13,19,1,4,15
1224,80,414,10,15,1,8,12
1225,0,172,15,19,1,4,15
1226,229,423,12,14,1,8,12
1227,154,188,13,19,0,4,14
1228,149,441,10,14,0,8,11
1229,237,128,18,19,1,4,18
1230,186,424,14,14,1,8,14
1231,53,430,4,15,0,4,4
1232,16,172,15,19,-1,0,13
1233,182,376,12,15,0,4,12
1234,100,229,15,18,-1,1,13
1235,242,423,12,14,0,5,12
1236,112,248,22,15,-1,4,21
1237,119,460,19,11,0,8,19
1238,200,168,13,19,1,0,14
1239,195,376,12,15,0,4,12
1240,34,302,16,15,0,4,16
1241,230,466,12,11,0,8,12
1242,35,232,16,18,0,1,16
1243,91,445,12,14,0,5,12
1244,196,208,21,18,-1,1,19
1245,58,430,16,14,-1,5,14
1246,175,228,13,18,0,1,13
1247,127,441,10,14,0,5,10
1248,207,327,13,15,0,4,13
1249,60,398,11,15,0,8,11
1250,203,227,13,18,1,1,15
1251,171,440,9,14,1,5,11
1252,217,227,13,18,1,1,15
1253,181,440,9,14,1,5,11
1254,18,232,16,18,0,1,16
1255,0,446,12,14,0,5,12
1260,52,230,15,18,0,1,15
1261,104,445,11,14,0,5,11
1262,84,230,15,18,-1,1,13
1263,0,251,11,18,0,5,11
1264,68,230,15,18,-1,1,13
1265,244,227,11,18,0,5,11
1266,236,148,15,19,-1,0,13
1267,98,209,11,19,0,4,11
1268,189,228,13,18,0,1,14
1269,116,445,10,14,0,5,11
1270,26,212,11,19,1,4,11
1271,210,439,8,14,1,8,8
1272,0,232,17,18,1,1,19
1273,215,424,13,14,1,5,15
1274,28,192,13,19,-1,4,11
1275,36,414,10,15,-1,8,8
1276,156,148,15,19,0,4,14
1277,125,362,12,15,0,8,11
1278,241,246,14,15,0,4,14
1279,60,486,11,11,0,8,11
8356,117,378,12,15,0,4,12
8482,113,496,18,8,2,4,21
8706,168,393,11,15,0,4,10
8710,193,327,13,15,0,4,13
8719,140,148,15,19,1,4,17
8721,124,149,15,19,0,4,15
8722,59,282,12,2,0,10,12
8725,55,249,15,16,-6,4,4
8729,77,298,4,2,1,11,6
8730,113,128,13,20,0,0,12
8734,132,496,13,7,1,8,15
8735,108,430,15,14,3,5,21
8745,210,343,13,15,1,4,15
8747,73,128,8,21,-1,0,6
8776,146,492,12,7,0,8,12
8800,242,359,12,15,0,4,12
8801,64,461,12,12,0,5,12
8804,13,446,12,14,0,5,12
8805,26,446,12,14,0,5,12
9632,89,498,11,10,1,9,13
9633,101,496,11,10,1,9,13
9650,218,295,15,15,3,4,21
9658,211,279,16,15,2,4,21
9660,202,295,15,15,3,4,21
9668,177,279,16,15,3,4,21
9786,140,426,15,14,3,7,21
9787,171,425,14,14,4,7,22
9788,173,128,21,19,-1,2,19
9792,60,128,12,21,2,3,16
9794,82,128,15,20,0,2,16
9824,27,461,11,13,0,6,11
9827,232,438,14,13,0,6,14
9829,0,461,13,13,0,6,12
9830,39,461,11,13,0,6,11
9834,108,397,11,15,0,5,11
9835,116,229,14,18,0,3,16
9839,43,251,11,17,0,4,11
